UnitID,Institution Name,Sector of institution (HD2017),Institution name alias (HD2017),Institution (entity) name (HD2017),Street address or post office box (HD2017),City location of institution (HD2017),ZIP code (HD2017),Institution's internet website address (HD2017),Financial aid office web address (HD2017),Admissions office web address (HD2017),Online application web address (HD2017),
113856,East Los Angeles College,4,,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,91754-6099,www.elac.edu/,www.elac.edu/currentstudents/financialaid/index.htm,www.elac.edu/prospectivestudents/admissions/index.htm,www.laccd.edu/Students/opencccapply/applyelac/Pages/default.aspx,
413802,East San Gabriel Valley Regional Occupational Program,4,,East San Gabriel Valley Regional Occupational Program,1501 W Del Norte St.,West Covina,91790,www.esgvrop.org,www.esgvrop.org,www.esgvrop.org,www.esgvrop.org,
112686,El Camino College-Compton Center,4,,El Camino College-Compton Center,1111 East Artesia Blvd.,Compton,90221-5393,www.compton.edu,www.compton.edu/studentservices/financialaid/index.aspx,www.compton.edu/studentservices/admissionandrecords/,www.compton.edu/apply/,
113980,El Camino Community College District,4,ECC,El Camino Community College District,16007 Crenshaw Blvd,Torrance,90506,www.elcamino.edu,www.elcamino.edu/studentservices/fao/,www.elcamino.edu/welcome/admissions/,www.elcamino.edu/apply/,
114266,Evergreen Valley College,4,,Evergreen Valley College,3095 Yerba Buena Rd,San Jose,95135-1598,www.evc.edu,www.evc.edu/current-students/financial-aid-and-scholarships,www.evc.edu/current-students/admissions-and-records,www.evc.edu/future-students/apply-now,
114433,Feather River Community College District,1,Feather River College,Feather River Community College District,570 Golden Eagle Ave,Quincy,95971-9124,www.frc.edu,www.frc.edu/financialaid/,www.frc.edu/admissions/index.cfm,https://banner.frc.edu/pls/PROD/bwskalog.P_DispLoginNon,
444219,Folsom Lake College,4,Folsom Lake | FLC,Folsom Lake College,10 College Parkway,Folsom,95630,www.flc.losrios.edu/,www.flc.losrios.edu/student-services/student-aid/financial-aid,www.flc.losrios.edu/student-services/admissions-and-records,www.losrios.edu/lrc/lrc_app.php,
114716,Foothill College,1,,Foothill College,12345 El Monte Rd,Los Altos Hills,94022,www.foothill.edu,https://foothill.edu/financialaid/,www.foothill.edu/admissions.php,www.foothill.edu/apply/,
114789,Fresno City College,4,,Fresno City College,1101 E. University Ave,Fresno,93741,www.fresnocitycollege.edu,www.fresnocitycollege.edu/admissions-aid/financial-aid-office/index.html,www.fresnocitycollege.edu/admissions-aid/admissions-and-records-office/admissions/index.html,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP,
114859,Fullerton College,4,,Fullerton College,321 E Chapman Avenue,Fullerton,92832-2095,www.fullcoll.edu,financialaid.fullcoll.edu,admissions.fullcoll.edu,admissions.fullcoll.edu/online-application/,
114938,Gavilan College,4,,Gavilan College,5055 Santa Teresa Blvd,Gilroy,95020,www.gavilan.edu,www.gavilan.edu/finaid/,www.gavilan.edu/admit/,www.gavilan.edu/admit/instructions.html,
115001,Glendale Community College,4,GCC | Glendale College,Glendale Community College,1500 N Verdugo Rd,Glendale,91208-2894,www.glendale.edu,www.glendale.edu/financial-aid-fees/financial-aid,www.glendale.edu/students/admissions-records,www.glendale.edu/apply/new-or-returning-students,
115126,Golden West College,4,,Golden West College,15744 Goldenwest St.,Huntington Beach,92647-2710,www.goldenwestcollege.edu,goldenwestcollege.edu/gwcfao/,www.goldenwestcollege.edu/admissions/,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=F240D67DC5B513E57603C2FD523A2B5D,
115296,Grossmont College,4,,Grossmont College,8800 Grossmont College Dr,El Cajon,92020-1799,www.grossmont.edu/,www.grossmont.edu/fa/,www.grossmont.edu/admissions/,www.grossmont.edu/future-students/default.aspx,
383084,Hacienda La Puente Adult Education,4,,Hacienda La Puente Adult Education,14101 E. Nelson Ave,La Puente,91746-0002,www.hlpae.com,,,,
115393,Hartnell College,4,,Hartnell College,411 Central Avenue,Salinas,93901,www.hartnell.edu,www.hartnell.edu/financial_aid/,www.hartnell.edu/registration-steps,www.hartnell.edu/application-admission-0,
115755,Humboldt State University,1,,Humboldt State University,1 Harpst Street,Arcata,95521-8299,www.humboldt.edu,www.humboldt.edu/finaid/,www.humboldt.edu/admissions/,https://www2.calstate.edu/apply,
115861,Imperial Valley College,4,IVC,Imperial Valley College,380 E. Aten Road,Imperial,92251-0158,www.imperial.edu,www.imperial.edu/students/financial-aid-and-scholarships/,www.imperial.edu/students/admissions-and-records/,https://www.imperial.edu/apply-now/,
116439,Irvine Valley College,4,,Irvine Valley College,5500 Irvine Center Drive,Irvine,92618-0301,www.ivc.edu,financialaid.ivc.edu/Pages/default.aspx,admissions.ivc.edu/Pages/default.aspx,admissions.ivc.edu/pages/admissions.aspx,
117195,Lake Tahoe Community College,4,LTCC,Lake Tahoe Community College,One College Drive,South Lake Tahoe,96150,www.ltcc.edu,www.ltcc.edu/admissions/financial-aid,www.ltcc.edu/admissions/,www.opencccapply.net/uPortal/f/u66l1s1000/normal/render.uP,
117247,Laney College,4,,Laney College,900 Fallon Sreet,Oakland,94607,laney.edu/,laney.edu/financial_aid/,laney.edu/admission_records/,web.peralta.edu/admissions/enrollment-steps/,
366401,Las Positas College,4,,Las Positas College,3000 Campus Hill Drive,Livermore,94551-7650,www.laspositascollege.edu,www.laspositascollege.edu/financialaid/,www.laspositascollege.edu/admissions/index.php,www.laspositascollege.edu/admissions/Step1.php,
117274,Lassen Community College,4,,Lassen Community College,478-200 Hwy 139,Susanville,96130,www.lassencollege.edu/,lassencollege.edu/admissions/financial-aid/,lassencollege.edu/admissions/admissions-records/,lassencollege.edu/admissions/admissions-records/,
117645,Long Beach City College,4,,Long Beach City College,4901 E. Carson St.,Long Beach,90808-1706,www.lbcc.edu,www.lbcc.edu/financial-aid,www.lbcc.edu/admissions-aid,www.opencccapply.net/cccapply-welcome?cccMisCode=841,
117788,Los Angeles City College,4,,Los Angeles City College,855 N Vermont Ave,Los Angeles,90029,www.lacitycollege.edu/,www.lacitycollege.edu/services/finaid/financial-aid-info.html,www.lacitycollege.edu/services/admissions/apply-enroll.html,www.laccd.edu/Students/opencccapply/applylacc/Pages/default.aspx,
117803,Los Angeles County College of Nursing and Allied Health,4,L.A. County School of Nursing,Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,90033-1084,dhs.lacounty.gov/wps/portal/dhs/conah/,dhs.lacounty.gov/wps/portal/dhs/conah/,dhs.lacounty.gov/wps/portal/dhs/conah/,dhs.lacounty.gov/wps/portal/dhs/conah/,
117690,Los Angeles Harbor College,4,Harbor College,Los Angeles Harbor College,1111 Figueroa Place,Wilmington,90744-2397,www.lahc.edu,www.lahc.edu/studentservices/finaid/index.html,www.lahc.edu/studentservices/admissrec.html,www.lacolleges.net/admissions/,
117867,Los Angeles Mission College,4,,Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,91342-3200,www.lamission.edu,www.lamission.edu/Financialaid/Home.aspx,www.lamission.edu/Admissions/Home.aspx,www.laccd.edu/Students/opencccapply/applylamc/Pages/default.aspx,
117706,Los Angeles Pierce College,4,Pierce College |LA Pierce College,Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,91371-0002,www.piercecollege.edu,www.piercecollege.edu/offices/financial_aid/,www.piercecollege.edu/admissions/,www.piercecollege.edu/offices/international_students/futurestd.asp,
117715,Los Angeles Southwest College,4,,Los Angeles Southwest College,1600 W. Imperial Hwy.,Los Angeles,90047-4899,www.lasc.edu,www.lasc.edu/students/financial_aid/applying_for_financial_aid.html,www.lasc.edu/students/admissions/admssions.html,www.lasc.edu/students/admissions/admssions.html,
117724,Los Angeles Trade Technical College,4,,Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,90015-4181,www.lattc.edu,college.lattc.edu/financialaid/,college.lattc.edu/admissions/,www.laccd.edu/Students/opencccapply/applylattc/Pages/default.aspx,
117733,Los Angeles Valley College,4,Valley College |LA Valley College,Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,91401-4096,www.lavc.edu,www.lavc.edu/financialaid/index.html,www.lavc.edu/admissions/index.aspx,www.lavc.edu/applylavc.html,
117894,Los Medanos College,4,Los Medanos  LMC,Los Medanos College,2700 East Leland Road,Pittsburg,94565,www.losmedanos.edu/default.aspx,www.losmedanos.edu/financialaid/,www.losmedanos.edu/admissions/,www.losmedanos.edu/new/,
118684,Mendocino College,4,,Mendocino College,1000 Hensley Creek Road,Ukiah,95482,www.mendocino.edu,www.mendocino.edu/student-services/financial-aid,www.mendocino.edu/admissions,www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=12A3136B1B7FC1BCB23CAE85506243F7,
118718,Merced College,4,Merced Community College District,Merced College,3600 M St,Merced,95348-2898,www.mccd.edu,www.mccd.edu/resources/financialaid/,www.mccd.edu/resources/admissions-records/,www.mccd.edu/getstarted/apply.html,
118772,Merritt College,4,,Merritt College,12500 Campus Dr,Oakland,94619-3196,www.merritt.edu,www.merritt.edu/wp/financial-aid/,www.merritt.edu/wp/admissions/,web.peralta.edu/enrollment-2/,
118912,MiraCosta College,1,,MiraCosta College,One Barnard Drive,Oceanside,92056-3899,www.miracosta.edu,www.miracosta.edu/studentservices/financialaid/index.html,www.miracosta.edu/studentservices/admissions/index.html,www.miracosta.edu/studentservices/applyenroll/index.html,
118930,Mission College,4,,Mission College,3000 Mission College Blvd,Santa Clara,95054-1897,www.missioncollege.edu/,www.missioncollege.org/student_services/financial_aid/default.html,www.missioncollege.org/admissions/admis.html,www.missioncollege.org/admissions/apply.html,
118976,Modesto Junior College,1,MJC,Modesto Junior College,435 College Ave,Modesto,95350-5800,www.mjc.edu,www.mjc.edu/studentservices/finaid/,www.mjc.edu/studentservices/enrollment/,www.mjc.edu/studentservices/enrollment/admissions/applyforadmission.php,
119067,Monterey Peninsula College,4,,Monterey Peninsula College,980 Fremont St,Monterey,93940-4799,www.mpc.edu,www.mpc.edu/financial-aid,www.mpc.edu/admissions/contact-us-hours,www.mpc.edu/admissions/apply-to-mpc/u-s-based-students,
119137,Moorpark College,4,,Moorpark College,7075 Campus Rd,Moorpark,93021-1695,www.moorparkcollege.edu/index.shtml,www.moorparkcollege.edu/services_for_students/financial_aid/index.shtml,www.moorparkcollege.edu/apply_and_enroll/apply_for_admission/index.shtml,www.moorparkcollege.edu/apply-and-enroll/apply-for-admission,
460394,Moreno Valley College,4,,Moreno Valley College,16130 Lasselle St,Moreno Valley,92551,www.mvc.edu/,www.mvc.edu/services/sfs/,www.mvc.edu/services/ar/,https://www.mvc.edu/services/ar/apply.cfm,
119164,Mt San Antonio College,4,Mt. SAC,Mt San Antonio College,1100 N Grand Ave,Walnut,91789-1399,www.mtsac.edu,www.mtsac.edu/financialaid/,www.mtsac.edu/admissions/,www.mtsac.edu/admissions/apply-now.html,
119216,Mt San Jacinto Community College District,4,Mt. San Jacinto CCD,Mt San Jacinto Community College District,1499 N. State St.,San Jacinto,92583-2399,www.msjc.edu,,,,
119331,Napa Valley College,4,,Napa Valley College,2277 Napa-Vallejo Hwy,Napa,94558-6236,www.napavalley.edu,www.napavalley.edu/studentaffairs/FinancialAid/Pages/default.aspx,www.napavalley.edu/studentaffairs/AR/Pages/A_and_R_Welcome_Page.aspx,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=91F4FA3ECDED6EEA73162EEA36762D94,
460464,Norco College,4,,Norco College,2001 Third St,Norco,92860,www.norcocollege.edu/Pages/index.aspx,www.norcocollege.edu/services/studentfinancialservices/Pages/index.aspx,www.norcocollege.edu/services/admissions/Pages/index.aspx,https://www.norcocollege.edu/Pages/apply.aspx,
120290,Ohlone College,4,,Ohlone College,43600 Mission Blvd,Fremont,94539-0390,www.ohlone.edu,www.ohlone.edu/org/finaid/,www.ohlone.edu/org/admissions/,www.ohlone.edu/org/admissions/,
120342,Orange Coast College,4,,Orange Coast College,2701 Fairview Road,Costa Mesa,92626,www.orangecoastcollege.edu/,www.orangecoastcollege.edu/student_services/financial_aid/,www.orangecoastcollege.edu/enrollment/admissions/Pages/default.aspx,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP,
120421,Oxnard College,4,,Oxnard College,4000 S Rose Ave,Oxnard,93033-6699,www.oxnardcollege.edu,www.oxnardcollege.edu/departments/student_services/financial_aid/index.shtml,www.oxnardcollege.edu/apply_and_enroll/apply_for_admission/index.shtml,www.oxnardcollege.edu/departments/student-services/admissions-and-records/apply-for-admission,
120953,Palo Verde College,4,,Palo Verde College,One College Drive,Blythe,92225,www.paloverde.edu,www.paloverde.edu/financialaid,www.paloverde.edu/admissions,www.paloverde.edu/apply,
120971,Palomar College,4,,Palomar College,1140 W. Mission,San Marcos,92069-1487,www2.palomar.edu/,www2.palomar.edu/pages/fa/,www2.palomar.edu/pages/enrollmentservices/,https://www2.palomar.edu/pages/enrollmentservices/apply-now/,
121044,Pasadena City College,4,,Pasadena City College,1570 E Colorado Blvd.,Pasadena,91106-2003,pasadena.edu/,pasadena.edu/admissions-and-aid/financial-aid/,pasadena.edu/admissions-and-aid/admissions-and-records/,pasadena.edu/get-started/index.php,
121363,Porterville College,4,,Porterville College,100 E College Ave,Porterville,93257,www.portervillecollege.edu,https://www.portervillecollege.edu/financial-aid/financial-aid,https://www.portervillecollege.edu/admissions/admissions-office,https://www.portervillecollege.edu/admissions/new-prospective-students,
117052,Reedley College,4,,Reedley College,995 N Reed Ave,Reedley,93654,www.reedleycollege.edu,www.reedleycollege.edu/admissions-aid/financial-aid/index.html,www.reedleycollege.edu/admissions-aid/admissions/index.html,https://www.opencccapply.net/uPortal/f/u66l1s1000/normal/render.uP,
